uid, num_ratings, log_num_ratings, gini, rating_avg, rating_std, phi_avg, phi_std, proportion_long_tailors, avg_entropy, abnormality, abnormality_CR, itens_avg_num_ratings, avg_rating_from_itens_consumed
62, 498.00000, 8.96000, 0.12716, 3.56627, 0.84672, 0.11022, 0.09622, 0.26506, 1.28050, 0.59544, 0.16143, 665.72088, 3.67609
63, 98.00000, 6.61471, 0.20329, 3.42857, 1.25180, 0.14214, 0.10209, 0.16327, 1.35731, 0.80343, 0.29444, 858.55102, 3.47504
64, 27.00000, 4.75489, 0.10317, 4.14815, 0.86397, 0.22480, 0.14779, 0.03704, 1.32168, 0.78879, 0.20124, 1357.81481, 3.69462
65, 121.00000, 6.91886, 0.09056, 4.34711, 0.81354, 0.19252, 0.11902, 0.04132, 1.30892, 0.93575, 0.34497, 1162.83471, 3.60631
66, 26.00000, 4.70044, 0.19077, 3.84615, 1.43366, 0.21359, 0.15933, 0.19231, 1.31664, 0.99776, 0.36779, 1290.07692, 3.63447
67, 64.00000, 6.00000, 0.09381, 4.29688, 0.81025, 0.13131, 0.09978, 0.12500, 1.21639, 0.67641, 0.13659, 793.09375, 3.99216
68, 72.00000, 6.16993, 0.17870, 3.75000, 1.27545, 0.17167, 0.11610, 0.11111, 1.26932, 0.94709, 0.42065, 1036.90278, 3.90114
69, 65.00000, 6.02237, 0.12399, 4.15385, 1.04927, 0.13397, 0.12415, 0.24615, 1.27168, 0.88023, 0.31817, 809.15385, 3.84316
70, 54.00000, 5.75489, 0.17722, 3.70370, 1.22289, 0.19125, 0.11857, 0.07407, 1.32814, 0.83293, 0.40504, 1155.14815, 3.50929
71, 29.00000, 4.85798, 0.10060, 3.75862, 0.73946, 0.18433, 0.10971, 0.03448, 1.34717, 0.69400, 0.19466, 1113.37931, 3.49681
72, 43.00000, 5.42626, 0.16528, 3.69767, 1.16568, 0.20460, 0.13669, 0.09302, 1.28267, 0.84504, 0.27455, 1235.76744, 3.77709
73, 255.00000, 7.99435, 0.17046, 3.36471, 1.05196, 0.14820, 0.10754, 0.14902, 1.36351, 0.71286, 0.21363, 895.15686, 3.31384
74, 43.00000, 5.42626, 0.14007, 4.04651, 1.09007, 0.16644, 0.13489, 0.20930, 1.20956, 0.80552, 0.27646, 1005.30233, 4.00450
75, 175.00000, 7.45121, 0.13026, 4.00571, 1.01990, 0.09467, 0.09967, 0.40000, 1.36838, 1.24823, 0.64332, 571.80571, 3.18128
76, 87.00000, 6.44294, 0.10538, 4.17241, 0.86545, 0.16160, 0.11558, 0.10345, 1.24246, 0.58149, 0.14028, 976.09195, 3.82792
77, 39.00000, 5.28540, 0.22609, 2.94872, 1.21284, 0.15599, 0.11718, 0.17949, 1.37256, 0.85969, 0.32217, 942.20513, 3.41152
78, 140.00000, 7.12928, 0.13616, 3.65714, 0.92737, 0.11352, 0.09377, 0.24286, 1.30932, 0.68417, 0.25854, 685.65000, 3.70767
79, 31.00000, 4.95420, 0.16557, 3.64516, 1.14159, 0.12514, 0.10152, 0.19355, 1.31514, 0.77649, 0.32153, 755.87097, 3.57354
80, 48.00000, 5.58496, 0.12779, 3.89583, 0.92804, 0.21118, 0.13730, 0.02083, 1.32553, 0.73614, 0.16512, 1275.50000, 3.70722
81, 86.00000, 6.42626, 0.10159, 4.41860, 1.04561, 0.14857, 0.12603, 0.18605, 1.17702, 0.80142, 0.37548, 897.37209, 4.11421
82, 118.00000, 6.88264, 0.10531, 4.01695, 0.79510, 0.18273, 0.11951, 0.05932, 1.30885, 0.66451, 0.13627, 1103.69492, 3.58930
83, 99.00000, 6.62936, 0.21012, 3.57576, 1.37091, 0.15790, 0.11474, 0.10101, 1.35909, 1.01281, 0.39278, 953.73737, 3.43732
84, 31.00000, 4.95420, 0.19355, 3.83871, 1.46280, 0.30454, 0.14124, 0.06452, 1.22066, 1.02038, 0.91254, 1839.41935, 3.99069
85, 39.00000, 5.28540, 0.22759, 3.10256, 1.27310, 0.13687, 0.11891, 0.25641, 1.36899, 1.13251, 0.40679, 826.66667, 3.37258
86, 48.00000, 5.58496, 0.09732, 4.31250, 0.87898, 0.16514, 0.14190, 0.25000, 1.33780, 1.13730, 0.50278, 997.41667, 3.48285
87, 59.00000, 5.88264, 0.34552, 2.81356, 1.86135, 0.18197, 0.14330, 0.16949, 1.25197, 1.65007, nan, 1099.08475, 3.73762
88, 68.00000, 6.08746, 0.12693, 4.14706, 1.06875, 0.19253, 0.11192, 0.04412, 1.17932, 0.76968, 0.19569, 1162.86765, 4.09014
89, 21.00000, 4.39232, 0.27311, 3.23810, 1.70014, 0.17919, 0.11152, 0.04762, 1.26505, 1.26513, 0.81049, 1082.33333, 3.80989
90, 225.00000, 7.81378, 0.13007, 3.51111, 0.86143, 0.13468, 0.10526, 0.16889, 1.33717, 0.66537, 0.22379, 813.48889, 3.49344
91, 44.00000, 5.45943, 0.04908, 4.70455, 0.55320, 0.17122, 0.10905, 0.11364, 1.22711, 0.83937, 0.24062, 1034.15909, 3.97581
92, 430.00000, 8.74819, 0.27204, 2.75814, 1.33349, 0.11999, 0.09964, 0.24186, 1.36091, 1.11277, 0.45098, 724.73721, 3.33267
93, 220.00000, 7.78136, 0.24056, 2.97273, 1.27826, 0.13984, 0.10259, 0.11818, 1.34275, 0.85901, 0.29817, 844.65000, 3.28606
94, 21.00000, 4.39232, 0.11640, 3.85714, 0.85356, 0.10770, 0.08946, 0.28571, 1.33368, 0.78035, 0.10508, 650.52381, 3.51934
95, 99.00000, 6.62936, 0.14771, 3.59596, 0.98891, 0.19638, 0.11698, 0.07071, 1.26887, 0.75300, 0.17638, 1186.12121, 3.80991
96, 81.00000, 6.33985, 0.11627, 3.60494, 0.81669, 0.23243, 0.12503, 0.02469, 1.21781, 0.62868, 0.26460, 1403.85185, 4.00793
97, 154.00000, 7.26679, 0.06928, 4.47403, 0.62829, 0.10590, 0.10768, 0.31818, 1.19164, 0.58356, 0.06709, 639.64935, 4.04344
98, 20.00000, 4.32193, 0.15921, 3.80000, 1.15166, 0.23075, 0.14383, 0.10000, 1.24365, 0.84891, 0.51738, 1393.70000, 3.79245
99, 107.00000, 6.74147, 0.23419, 3.21495, 1.35304, 0.16973, 0.13183, 0.20561, 1.29985, 1.08534, 0.52644, 1025.15888, 3.65116
100, 76.00000, 6.24793, 0.14886, 3.02632, 0.86369, 0.21555, 0.12726, 0.02632, 1.28923, 0.73910, 0.17972, 1301.92105, 3.64169
101, 106.00000, 6.72792, 0.05447, 4.67925, 0.61019, 0.16104, 0.11499, 0.06604, 1.34590, 1.45427, 1.09669, 972.68868, 3.29949
102, 132.00000, 7.04439, 0.27267, 3.12879, 1.52037, 0.12976, 0.10311, 0.20455, 1.29430, 1.30059, 0.69248, 783.77273, 3.69682
103, 115.00000, 6.84549, 0.12551, 4.05217, 0.97192, 0.14655, 0.09711, 0.07826, 1.36935, 1.07880, 0.55537, 885.16522, 3.24393
104, 46.00000, 5.52356, 0.17589, 3.34783, 1.07945, 0.13831, 0.11426, 0.15217, 1.34885, 0.80804, 0.23623, 835.41304, 3.31931
105, 61.00000, 5.93074, 0.10362, 4.29508, 0.90082, 0.19694, 0.13109, 0.06557, 1.24476, 0.75089, 0.13408, 1189.52459, 3.84540
106, 47.00000, 5.55459, 0.09952, 4.02128, 0.76583, 0.15169, 0.10306, 0.06383, 1.25680, 0.52838, 0.11453, 916.21277, 3.89141
107, 121.00000, 6.91886, 0.09954, 3.74380, 0.71331, 0.12853, 0.10864, 0.22314, 1.19073, 0.57329, 0.05325, 776.31405, 4.03012
108, 37.00000, 5.20945, 0.21622, 3.13514, 1.25083, 0.15573, 0.13529, 0.18919, 1.31914, 0.83418, 0.24897, 940.59459, 3.54526
109, 81.00000, 6.33985, 0.06981, 4.00000, 0.65192, 0.18023, 0.11985, 0.11111, 1.28087, 0.59610, 0.24265, 1088.58025, 3.74156
110, 80.00000, 6.32193, 0.20500, 3.25000, 1.20652, 0.14796, 0.10917, 0.11250, 1.34447, 0.65254, 0.22158, 893.66250, 3.44431
111, 92.00000, 6.52356, 0.10803, 3.72826, 0.77180, 0.16039, 0.10455, 0.09783, 1.26745, 0.55341, 0.16486, 968.76087, 3.77191
112, 60.00000, 5.90689, 0.12689, 4.18333, 1.06551, 0.11041, 0.08460, 0.16667, 1.22012, 0.86897, 0.26986, 666.90000, 3.92870
113, 68.00000, 6.08746, 0.19056, 3.50000, 1.25186, 0.15409, 0.13128, 0.20588, 1.36161, 0.94207, 0.56313, 930.67647, 3.20533
114, 98.00000, 6.61471, 0.13592, 3.69388, 0.97820, 0.11552, 0.10757, 0.22449, 1.34265, 0.69834, 0.21621, 697.72449, 3.58238
115, 38.00000, 5.24793, 0.15537, 3.84211, 1.10347, 0.15427, 0.12741, 0.23684, 1.37501, 0.80502, 0.28548, 931.81579, 3.29240
116, 86.00000, 6.42626, 0.13893, 3.80233, 0.98003, 0.13555, 0.09823, 0.19767, 1.35319, 0.89314, 0.30168, 818.69767, 3.37152
117, 505.00000, 8.98014, 0.17596, 3.29901, 1.06891, 0.11420, 0.09822, 0.27723, 1.34193, 0.81668, 0.21548, 689.78218, 3.27329
118, 224.00000, 7.80735, 0.12082, 3.76786, 0.85214, 0.18184, 0.10272, 0.02679, 1.28479, 0.64449, 0.18913, 1098.29464, 3.73959
119, 105.00000, 6.71425, 0.13579, 3.54286, 0.89902, 0.11249, 0.09302, 0.26667, 1.37885, 0.83458, 0.47350, 679.45714, 3.30588
120, 63.00000, 5.97728, 0.15859, 3.61905, 1.06904, 0.22388, 0.12765, 0.04762, 1.16384, 0.85643, 0.15209, 1352.23810, 4.09320
121, 72.00000, 6.16993, 0.09137, 4.41667, 0.86806, 0.19193, 0.13023, 0.09722, 1.34612, 1.04304, 0.59366, 1159.25000, 3.53630
122, 57.00000, 5.83289, 0.22547, 2.96491, 1.22423, 0.22459, 0.13270, 0.00000, 1.30381, 0.95277, 0.60439, 1356.50877, 3.62069
123, 608.00000, 9.24793, 0.12634, 3.40132, 0.81388, 0.11349, 0.09743, 0.27138, 1.29127, 0.55919, 0.15406, 685.45724, 3.52350
124, 23.00000, 4.52356, 0.07790, 4.17391, 0.65033, 0.17047, 0.13304, 0.13043, 1.26668, 0.65613, 0.17502, 1029.65217, 3.79977
125, 71.00000, 6.14975, 0.09748, 4.09859, 0.75885, 0.17601, 0.11134, 0.08451, 1.27108, 0.63130, 0.10094, 1063.08451, 3.79553
126, 51.00000, 5.67243, 0.16724, 4.00000, 1.34164, 0.13171, 0.12793, 0.27451, 1.29993, 1.09379, 0.40126, 795.50980, 3.74330
127, 174.00000, 7.44294, 0.12361, 3.84483, 0.87618, 0.17289, 0.12915, 0.17241, 1.29479, 0.65776, 0.17332, 1044.26437, 3.71864
128, 22.00000, 4.45943, 0.09943, 4.36364, 0.90214, 0.16399, 0.15765, 0.22727, 1.29318, 1.01068, 0.47352, 990.50000, 3.64122
129, 158.00000, 7.30378, 0.11353, 4.02532, 0.88835, 0.16395, 0.11813, 0.14557, 1.30459, 0.71255, 0.14090, 990.25949, 3.61050
130, 135.00000, 7.07682, 0.11926, 4.31111, 1.15556, 0.17230, 0.11562, 0.11852, 1.28043, 1.04340, 0.29831, 1040.71852, 3.72040
131, 295.00000, 8.20457, 0.17034, 3.39661, 1.08577, 0.13450, 0.11528, 0.22712, 1.26276, 0.81390, 0.25197, 812.38305, 3.84554
132, 89.00000, 6.47573, 0.13400, 3.96629, 1.00509, 0.15621, 0.09351, 0.08989, 1.32690, 0.80778, 0.25253, 943.51685, 3.70561
133, 170.00000, 7.40939, 0.15280, 3.77059, 1.13589, 0.14544, 0.11046, 0.15294, 1.31547, 0.95342, 0.43697, 878.42941, 3.57386
134, 183.00000, 7.51570, 0.28270, 2.71585, 1.36925, 0.14555, 0.10484, 0.12568, 1.36456, 1.03528, 0.36925, 879.09290, 3.25015
135, 70.00000, 6.12928, 0.21350, 3.65714, 1.45349, 0.16399, 0.11382, 0.11429, 1.36628, 0.97872, 0.30063, 990.52857, 3.47094
136, 378.00000, 8.56224, 0.25334, 3.07407, 1.38764, 0.12332, 0.09970, 0.19048, 1.32535, 1.25922, 0.41136, 744.84392, 3.62576
137, 201.00000, 7.65105, 0.09597, 3.61194, 0.68459, 0.15854, 0.10704, 0.07960, 1.34348, 0.55800, 0.13629, 957.60199, 3.51156
138, 65.00000, 6.02237, 0.07545, 4.49231, 0.70982, 0.16226, 0.13597, 0.21538, 1.21095, 0.69095, 0.15520, 980.06154, 3.97377
139, 245.00000, 7.93664, 0.14666, 3.88163, 1.05498, 0.15647, 0.11106, 0.12245, 1.30455, 0.82875, 0.27438, 945.09388, 3.74562
140, 55.00000, 5.78136, 0.15515, 3.81818, 1.10706, 0.13316, 0.12598, 0.29091, 1.18079, 0.85879, 0.19270, 804.29091, 4.05975
141, 23.00000, 4.52356, 0.18005, 3.69565, 1.29456, 0.17177, 0.13732, 0.13043, 1.20538, 0.99572, 0.65747, 1037.47826, 4.00744
142, 47.00000, 5.55459, 0.17618, 3.34043, 1.08901, 0.25015, 0.14074, 0.02128, 1.23737, 0.91797, 0.55119, 1510.93617, 3.96571
143, 68.00000, 6.08746, 0.18129, 3.54412, 1.18993, 0.21245, 0.11616, 0.02941, 1.30220, 0.88530, 0.36299, 1283.22059, 3.74273
144, 32.00000, 5.00000, 0.23733, 3.46875, 1.52367, 0.20696, 0.12980, 0.03125, 1.30039, 1.07918, 0.75156, 1250.03125, 3.62155
145, 39.00000, 5.28540, 0.23932, 3.00000, 1.29777, 0.17572, 0.11948, 0.07692, 1.34675, 0.96229, 0.29369, 1061.35897, 3.61461
146, 426.00000, 8.73471, 0.15582, 3.76995, 1.09486, 0.12078, 0.09543, 0.19484, 1.27650, 0.81872, 0.16274, 729.50469, 3.78600
147, 187.00000, 7.54689, 0.14590, 3.50267, 0.94684, 0.17563, 0.11699, 0.07487, 1.31882, 0.59533, 0.18077, 1060.79144, 3.53026
148, 624.00000, 9.28540, 0.14005, 3.73397, 0.97796, 0.10978, 0.09322, 0.24679, 1.32982, 0.84814, 0.20117, 663.06250, 3.35877
149, 592.00000, 9.20945, 0.12517, 3.94088, 0.93161, 0.12569, 0.09859, 0.19932, 1.29893, 0.68129, 0.35114, 759.15878, 3.67818
150, 232.00000, 7.85798, 0.09411, 4.02155, 0.74698, 0.16410, 0.10993, 0.09052, 1.28322, 0.54920, 0.12399, 991.18103, 3.83668
151, 471.00000, 8.87958, 0.15071, 3.65393, 1.01959, 0.12930, 0.10486, 0.21868, 1.33186, 0.69756, 0.18642, 780.94480, 3.53960
152, 24.00000, 4.58496, 0.12079, 4.12500, 1.03472, 0.20581, 0.11535, 0.12500, 1.28522, 0.86259, 0.58159, 1243.08333, 3.77778
153, 26.00000, 4.70044, 0.15022, 4.07692, 1.23038, 0.12963, 0.14290, 0.34615, 1.38022, 1.23059, 1.07271, 782.96154, 3.09648
154, 44.00000, 5.45943, 0.19318, 3.09091, 1.09583, 0.17654, 0.12285, 0.06818, 1.30930, 0.85563, 0.24288, 1066.29545, 3.63555
155, 96.00000, 6.58496, 0.25822, 2.96875, 1.36461, 0.13001, 0.11655, 0.22917, 1.32602, 0.88976, 0.26928, 785.28125, 3.36999
156, 148.00000, 7.20945, 0.08351, 4.23649, 0.70336, 0.13218, 0.09980, 0.14189, 1.31109, 0.81979, 0.30539, 798.35135, 3.58056
157, 427.00000, 8.73809, 0.10945, 3.71897, 0.76954, 0.13994, 0.10088, 0.12881, 1.29267, 0.52309, 0.12143, 845.21311, 3.67179
158, 22.00000, 4.45943, 0.11880, 4.00000, 0.92582, 0.10911, 0.09052, 0.27273, 1.14022, 0.73617, 0.21122, 659.00000, 3.94826
159, 36.00000, 5.16993, 0.11642, 3.77778, 0.83190, 0.21745, 0.13523, 0.02778, 1.30369, 0.65417, 0.15159, 1313.41667, 3.66790
160, 20.00000, 4.32193, 0.11000, 3.50000, 0.76089, 0.23682, 0.16163, 0.05000, 1.31261, 0.66029, 0.12407, 1430.40000, 3.78316
161, 297.00000, 8.21432, 0.07455, 4.47138, 0.68775, 0.12526, 0.10467, 0.23232, 1.23954, 0.71202, 0.14649, 756.56566, 3.93353
162, 107.00000, 6.74147, 0.12147, 4.12150, 0.95868, 0.17734, 0.10672, 0.04673, 1.34007, 0.89757, 0.32142, 1071.11215, 3.53080
163, 514.00000, 9.00562, 0.26650, 2.18288, 1.06952, 0.10610, 0.09934, 0.31907, 1.36890, 1.15354, 0.51592, 640.85409, 3.19608
164, 26.00000, 4.70044, 0.07287, 4.38462, 0.63730, 0.12235, 0.11066, 0.23077, 1.22592, 0.62001, 0.11956, 739.00000, 3.95246
165, 110.00000, 6.78136, 0.11353, 3.98182, 0.86716, 0.15126, 0.12956, 0.19091, 1.30756, 0.71951, 0.21376, 913.62727, 3.70155
166, 410.00000, 8.67948, 0.14141, 3.68780, 0.95631, 0.13195, 0.10405, 0.19268, 1.32676, 0.67966, 0.21286, 796.95610, 3.54088
167, 58.00000, 5.85798, 0.20101, 2.93103, 1.09002, 0.11340, 0.09130, 0.25862, 1.36095, 0.84671, 0.40021, 684.96552, 3.33645
168, 26.00000, 4.70044, 0.16923, 3.84615, 1.25514, 0.22399, 0.13746, 0.07692, 1.29305, 0.89605, 0.22729, 1352.88462, 3.71465
169, 552.00000, 9.10852, 0.14970, 3.56703, 1.00228, 0.13701, 0.09794, 0.14493, 1.29596, 0.80098, 0.11182, 827.54710, 3.67852
170, 87.00000, 6.44294, 0.14376, 3.98851, 1.09432, 0.22077, 0.13461, 0.06897, 1.24134, 0.64638, 0.18016, 1333.44828, 3.87679
171, 24.00000, 4.58496, 0.08247, 4.00000, 0.65938, 0.14728, 0.12606, 0.29167, 1.25216, 0.41496, 0.18822, 889.58333, 3.91885
